"Address","Occurrences","H2-1","H2-1 Length","H2-2","H2-2 Length","Indexability","Indexability Status"
"https://unfoldgrowth.com.br/blog/previsibilidade-comercial-como-sair-do-mes-a-mes-na-incorporadora","2","O custo de viver no mês a mês","29","Por que a incorporadora sofre mais","34","Indexable",""
"https://unfoldgrowth.com.br/blog/quanto-investir-em-trafego-pago-para-lancamento-imobiliario","2","A pergunta errada: ""qual percentual do VGV?""","44","A pergunta certa: quanto cada real precisa retornar","51","Indexable",""
"https://unfoldgrowth.com.br/blog/glossario-de-growth-para-incorporadora","2","Métricas do empreendimento","26","Ticket médio","12","Indexable",""
"https://unfoldgrowth.com.br/blog/funil-de-vendas-para-construcao-civil","2","O que é o funil de vendas (e por que ele é um só)","49","As etapas do funil, da atração ao contrato","42","Indexable",""
"https://unfoldgrowth.com.br/blog/agencia-de-trafego-ou-assessoria-de-growth","2","O que faz uma agência de tráfego","32","O que faz uma assessoria de growth","34","Indexable",""
"https://unfoldgrowth.com.br/blog/vendas-b2b","2","O que são vendas B2B","20","O eixo que realmente importa não é B2B x B2C","44","Indexable",""
"https://unfoldgrowth.com.br/blog/marketing-de-lancamento-imobiliario-antes-durante-e-depois","2","O erro de tratar lançamento como só divulgação","46","Antes: construir demanda qualificada","36","Indexable",""
"https://unfoldgrowth.com.br/blog/sales-enablement-para-corretores-e-comite-de-compra","2","O que é sales enablement (e por que não é só treinamento)","57","Por que o comitê de compra muda tudo","36","Indexable",""
"https://unfoldgrowth.com.br/blog/quanto-dura-o-ciclo-de-venda-de-um-imovel-na-planta","2","Quanto dura, de fato","20","Por que o ciclo é tão longo","27","Indexable",""
"https://unfoldgrowth.com.br/blog/dashboard-comercial","2","O que é dashboard comercial","27","O erro que quase todo dashboard comete","38","Indexable",""
"https://unfoldgrowth.com.br/blog/playbook-de-vendas","2","Playbook, processo comercial e script: o que é cada um","54","Por que a maioria dos playbooks morre","37","Indexable",""
"https://unfoldgrowth.com.br/blog/quais-metricas-e-como-medir-em-growth-marketing","2","As duas grandezas que descem pelo funil","39","A cadeia de custo e conversão","29","Indexable",""
"https://unfoldgrowth.com.br/diagnostico/privacidade","2","O que fazemos com os dados","26","Base legal","10","Indexable",""
"https://unfoldgrowth.com.br/blog/pipeline-de-vendas","2","Pipeline de vendas x funil de vendas: a diferença rápida","56","As etapas do pipeline e o critério objetivo de avanço","53","Indexable",""
"https://unfoldgrowth.com.br/blog/marketing-b2b","2","O que é marketing B2B","21","Marketing B2B x marketing B2C","29","Indexable",""
